Site_id,Site_Name,Description,Grid,Latitude,Longitude
80474,Cycle H0474,A647 Bradford Road Cycle Superhighway (eastbound),4.20E+11,53.8029,-1.69942
80475,Cycle H0475,A647 Bradford Road Cycle Superhighway (westbound),4.20E+11,53.80304,-1.6975
90120,Cycle I0120,Kirkstall Forge Canal Towpath Cycle Counter,4.25E+11,53.82305,-1.62262
90241,Cycle I0241,Cardigan Lane Cycle Counter,4.28E+11,53.81308,-1.57279
90319,Cycle I0319,Stanningley Road Cycle Superhighway (eastbound),4.25E+11,53.80571,-1.62874
90320,Cycle I0320,Stanningley Road Cycle Superhighway (westbound),4.25E+11,53.8056,-1.62862
90810,Cycle I0810,Canal Tow Path Armley Mills,4.28E+11,53.80195,-1.57874
90811,Cycle I0811,Wellington Road Cycle Path,4.29E+11,53.79572,-1.56364
90814,Cycle I0814,Armley Road Cycle Superhighway,4.28E+11,53.7974,-1.57291
90816,CYCLE I0816,Wellington Street Eastbound Cycle Lane,4.29E+11,53.79684,-1.55596
90817,CYCLE I0817,Wellington Street Westbound Cycle Lane,4.29E+11,53.79673,-1.55618
100122,Cycle J0122,Meanwood Road Cycle Path,4.30E+11,53.81519,-1.54569
100123,Cycle J0123,Meanwood Road Cycle Counter Sheepscar,4.31E+11,53.80798,-1.53653
100124,CYCLE J0124,A6120 Ring Road Cycle Superhighway (e of king lane),4.30E+11,53.84784,-1.54284
100125,CYCLE J0125,A6120 Ring Road Cycle Superhighway (w of birchwood hill),4.32E+11,53.84955,-1.51445
100126,CYCLE J0126,A6120 Ring Road Cycle Superhighway (e of roundhay park lane),4.33E+11,53.84811,-1.4979
100217,Cycle J0217,Wykebeck Woods Cycle Path,4.34E+11,53.82922,-1.48842
100218,Cycle J0218,A64 York Road Cycle Superhighway (killingbeck eastbound),4.35E+11,53.80683,-1.47273
100219,Cycle J0219,A64 York Road Cycle Superhighway (killingbeck westbound),4.35E+11,53.80694,-1.47039
100628,Cycle J0628,Grape Street Cycle Counter,4.31E+11,53.78547,-1.53298
100629,Cycle J0629,Hunslet Road Cycle Counter,4.31E+11,53.78574,-1.53265
100633,Cycle J0633,Regent Street Cycle Counter (s of gower street),4.31E+11,53.80056,-1.53377
100634,Cycle J0634,Regent Street Cycle Counter (s of hope road),4.31E+11,53.80125,-1.53322
100635,Cycle J0635,A64 York Road Cycle Superhighway (burmantofts eastbound),4.32E+11,53.79774,-1.51583
100636,Cycle J0636,A64 York Road Cycle Superhighway (burmantofts westbound),4.32E+11,53.79745,-1.51583
100642,CYCLE J0642,St Peters Street Cycle Lane,4.31E+11,53.79738,-1.5346
100643,CYCLE J0643,Marsh Lane Cycle Route,4.31E+11,53.7974,-1.52918
170127,CYCLE Q0127,Castleford Greenway Cycle Counter (phase 4),4.39E+11,53.72644,-1.40991
